PRICE,AREA
34 L,800
13.32 L,444
32 L,774
95 L,1273
75 L,1053
1.23 Cr,1755
53.7 L,1104
31.46 L,673
37.94 L,1084
29.5 L,838
1.67 Cr,1882
1.2 Cr,1196
85 L,919
52.15 L,1159
1.6 Cr,2065
1.3 Cr,1597
45  - 49 L,880
51.6 L,1214
41.48 L,976
85 L,1063
57.46 L,884
45 L,1000
20.5 L,490
48 L,1010
76.06 L,1528
48 L,897
45.5 L,1039
22 L,556
42 L,910
26 L,630
1.3 Cr,1244
1.11 Cr,923
2.8 Cr,3555
1.83 Cr,2322
1.43 Cr,1728
2.46 Cr,2465
1.52 Cr,1510
1.4 Cr,1300
69.25 L,1539
46.3 L,929
40 L,824
40 L,850
60 L,1250
42 L,828
45 L,853
1.15 Cr,1198
5 Cr,4342
4 Cr,2396
1.2 Cr,1268
25 L,750
45 L,1179
48 L,1220
49 L,1010
40 L,860
92 L,1940
42 L,910
26 L,630
1.4 Cr,1435
42 L,1055
35 L,513
45 L,1025
25 L,850
75 L,1379
75 L,1682
67 L,1515
2.8 Cr,2231
85 L,1301
19 L,700
1.21 Cr,1535
89 L,1133
82 L,1226
65 L,957
17 L,880
40 L,880
24 L,690
30 L,660
48 L,840
52 L,1110
65 L,1323
58 L,1288
55 L,1120
72 L,1266
52 L,1290
92 L,1940
42 L,910
26 L,630
29 L,850
50.92 L,1050
75 L,970
13.25 L,565
82 L,2085
45.5 L,1039
1.42 Cr,2848
98.8 L,1978
68.88 L,1379
91.98 L,1940
41.99 L,910
1.25 Cr,1845
25.15 L,786
11.2 L,350
97 L,1486
64 L,770
23 L,712
37 L,1213
24 L,538
58 L,1370
81.76 L,1528
48 L,897
1 Cr,1616
61.07 L,985
1.16 Cr,1548
70.43 L,939
38 L,1021
27.93 L,798
40 L,1060
82 L,905
32 L,859
45 L,1166
38 L,840
32 L,975
25 L,805
41.5 L,933
41 L,750
46 L,1325
42 L,620
26.25 L,750
4 Cr,2867
2.46 Cr,2465
1.4 Cr,1300
35.65 L,1150
18.95 L,570
1.74 Cr,2350
1.15 Cr,1550
1.72 Cr,2130
1.31 Cr,1640
70.83 L,1083
52.32 L,800
3 Cr,2581
2.3 Cr,1815
55 L,995
27 L,750
14.2 L,400
76.06 L,1528
48 L,897
1.35 Cr,1950
76.06 L,1528
48 L,897
2.3 Cr,2499
1.6 Cr,1957
1.1 Cr,1824
84.64 L,1472
1.27 Cr,1184
2.45 Cr,1878
1.3 Cr,1244
53.38 L,1271
55.35 L,971
1.6 Cr,2065
1.3 Cr,1597
26.55 L,590
3.79 Cr,3479.97
3 Cr,2056
1.1 Cr,1090
33.02 L,1032
89 L,1230
65 L,1115
30 L,850
44 L,1125
1.2 Cr,1648
2.45 Cr,1800
63 L,1130
26 L,800
40 L,951
31 L,780
1.27 Cr,1500
48.01 L,865
77.72 L,1143
29 L,740
9.5 L,561
3 Cr,2326
46.8 L,836
39 L,850
65 L,900
27 L,800
32 L,824
34 L,1250
1.56 Cr,1980
1.4 Cr,1740
49 L,1047
38 L,881
13.7 L,466
23 L,848
21 L,1200
40 L,1010
43.5 L,870
1.41 Cr,1980
1.24 Cr,1740
3 Cr,2581
2.3 Cr,1815
1.74 Cr,2350
1.15 Cr,1550
1.25 Cr,1133
45 L,887
45 L,914
32 L,750
63 L,1360
96 L,1338
92 L,950
52 L,1156
2.1 Cr,2200
47.5 L,1636
56 L,906
1.45 Cr,1880
1.9 Cr,2000
47 L,957
85 L,993
38.64 L,920
56.8 L,1136
83 L,1008
35 L,720
1.05 Cr,1328
42 L,852
95 L,1366
24 L,450
49 L,1111
85 L,1130
25.5 L,905
42 L,1270
66 L,1800
18.9 L,756
38 L,1100
51.75 L,1036
14 L,510
35 L,1020
20 L,650
75 L,1406
26 L,500
37 L,865
88 L,900
64.63 L,1175
80 L,1422
56.45 L,1344
4.09 Cr,2839
3.53 Cr,2452
5.4 Cr,4775
72.5 L,1250
2.96 Cr,2274
42.8 L,1070
13 L,650
38 L,1200
42.6 L,1420
8.25 Cr,4500
59 L,1323
27.8 L,835
2.8 Cr,3555
1.43 Cr,2322
1.36 Cr,1728
1.29 Cr,1771
93.99 L,1188
89 L,985
1.1 Cr,1911
14.2 L,400
89 L,985
60.51 L,976
70 L,1588
61 L,1295
1.35 Cr,1970
2.8 Cr,1878
1.85 Cr,2923
88 L,1110
5.5 Cr,4060
16 L,460
91.73 L,2025
29.9 L,712
55.65 L,1325
30.5 L,742
90 L,1482
38 L,860
57 L,1036
73.56 L,1424
1.16 Cr,1258
83 L,1400
32.4 L,784
36 L,1036
76.8 L,1180
2 Cr,1570
1.85 Cr,1438
65 L,1329
