PRICE,AREA
1.02 Cr,1266
62 L,1070
52 L,823
57 L,995
45 L,1120
6.1 Cr,11000
82 L,1221
72 L,1283
25.5 L,700
34 L,911
37 L,921
36.72 L,918
37.2 L,930
96 L,1522
1.3 Cr,2113
30 L,650
70 L,1487
48 L,980
27 L,450
46 L,722
45 L,722
69 L,904
60 L,900
45 L,722
50 L,958
46 L,1000
50 L,1045
50 L,850
50 L,850
55 L,950
50 L,900
65 L,1100
65 L,1410
19.5 L,345
55 L,722
69 L,904
68 L,1275
50 L,901
53 L,900
71 L,1305
70 L,904
55 L,910
65 L,1210
70 L,1300
68 L,1250
1.25 Cr,2113
55.8 L,1330
72 L,1257
58 L,1203
60 L,1217
65 L,1252
88 L,1637
72 L,1427
24 L,727
34 L,985
50 L,1057
41 L,970
36 L,1057
36 L,857
45 L,1070
33 L,790
35 L,877
24.5 L,737
28 L,805
34 L,767
1 Cr,1170
65 L,1277
48 L,1150
3.56 Cr,2838
1.15 Cr,1580
2.91 Cr,2920
46.5 L,1125
38 L,946
58 L,1020
58 L,1021
53 L,920
49 L,836
52 L,891
89 L,2331
78 L,1461
54 L,1150
80 L,1500
55 L,1080
50 L,1050
50 L,1050
75 L,1485
75 L,1487
75 L,1487
65 L,1250
65 L,1250
65 L,1251
70 L,1170
50 L,916
12.5 L,601.5
58 L,1234
1.75 Cr,1500
51 L,1050
71 L,1257
64 L,1150
73 L,1240
66 L,1100
25 L,800
2.5 Cr,2600
21.5 L,650
90 L,1585
65 L,1241
13.75 L,600
32 L,820
47 L,980
88 L,1413
70 L,1257
87 L,1450
92 L,1445
40.5 L,675
39 L,650
33.6 L,560
1.2 Cr,1196
70.68 L,1140
49.5 L,895
55.5 L,898
76 L,1250
49.5 L,900
55.5 L,900
26.1 L,765
25.9 L,764
26 L,764
25.95 L,764
45 L,1064
29 L,679
28.5 L,900
47 L,1217
42 L,870
62 L,1007
41 L,1080
28 L,754
28 L,607
30 L,760
28 L,764
13.5 L,450
1.12 Cr,1426
60 L,1007
20 L,750
11.5 L,520
43.5 L,900
2.1 Cr,2187
2.38 Cr,1958
2.5 Cr,2109
29.5 L,780
28.5 L,780
23 L,675
21.5 L,625
16.5 L,550
21.5 L,725
25 L,753
45 L,977
3.95 Cr,3029
23.5 L,791
36 L,850
48 L,1000
23.5 L,700
26 L,770
40 L,1150
34 L,1100
25 L,790
32 L,890
30 L,840
42 L,1002
53 L,970
63 L,1240
43 L,898
28 L,615
12 L,500
48 L,1000
64 L,1249
42 L,800
83 L,1265
21.5 L,540
35.07 L,811
19.5 L,613
42.36 L,1059
33.23 L,852
24 L,575
17.95 L,513
35.51 L,789
75 L,1387
53 L,813
96.33 L,1383
69 L,976
1.28 Cr,1867
42 L,880
60 L,1001
2.65 Cr,1969
27 L,771
14.06 L,502
10.92 L,390
36.52 L,987
60.58 L,1165
29.97 L,1110
26.98 L,650
19.17 L,710
47.74 L,1308
36.5 L,1000
31.39 L,860
37.5 L,1015
40.45 L,1157
28.12 L,792
43.9 L,1255
28.17 L,805
34 L,1034
31.3 L,881
21.75 L,945
25.1 L,1091
21.5 L,894
29.55 L,1055
24.2 L,750
29.4 L,840
19.51 L,750
17.36 L,560
30.69 L,990
35.65 L,1150
30.89 L,1065
22.5 L,776
19.72 L,680
25.55 L,881
65 L,1500
37.56 L,925
23.45 L,670
1.45 Cr,1947
1.5 Cr,1987
1.06 Cr,1635
1.7 Cr,2200
22.5 L,875
15.9 L,706
37.4 L,1245
20.8 L,799
19.3 L,703
46.1 L,1024
70 L,1250
31.5 L,885
43 L,1188
1.21 Cr,1399
1.28 Cr,1555
75 L,1240
86 L,150
65 L,1100
35.59 L,1114
35 L,1002
2 Cr,2187
38.43 L,915
72 L,1580
60 L,1319
45 L,990
53 L,1150
14 L,465
47.5 L,830
63 L,1058
34 L,750
37 L,1100
66 L,1076
2.1 Cr,1972.11
1.47 Cr,1450
15.78 L,451
39 L,1050
75 L,1130
2.65 Cr,3620
1.7 Cr,2404
35.67 L,1019
25.9 L,740
20.44 L,584
75 L,1180
41 L,840
47 L,1228
30.57 L,899
23 L,778
31.1 L,890
27.72 L,840
31.23 L,1041
22.26 L,642
14.84 L,424
78 L,1370
20.58 L,588
34 L,1039
68.5 L,1280
24 L,800
52 L,860
85 L,1230
36.9 L,1002
75 L,1235
49 L,981
39 L,771
62 L,1357
46 L,835
34.92 L,776
37.4 L,842
40.78 L,906
35.37 L,786
40 L,1190
25 L,856
25.34 L,685
28 L,860
71.13 L,1424
68.88 L,1379
90 L,1496
1 Cr,1665
26.1 L,870
31.5 L,1050
31.56 L,1052
16.55 L,662
16.5 L,660
15.35 L,614
15.5 L,620
21.44 L,875
1.32 Cr,1457
28 L,800
39.15 L,870
27.23 L,825
19.8 L,600
79.5 L,1590
40.89 L,951
6 Cr,4456
70 L,1250
85 L,980
65 L,1050
84 L,1450
68.25 L,1050
76.5 L,900
28 L,800
25 L,900
1.18 Cr,1150
1.28 Cr,1409
27.95 L,607
28 L,670
43 L,978
34 L,890
2.15 Cr,2050
27 L,710
34 L,880
42 L,975
26 L,740
31.5 L,730
36 L,825
33 L,770
57 L,1300
26 L,870
1.18 Cr,1390
17 L,720
44.5 L,850
66 L,1450
1.2 Cr,1850
85 L,1260
75 L,1530
25.15 L,679
27 L,754
1.15 Cr,1560
54.2 L,1462
39.5 L,1064
55 L,1000
1.05 Cr,1500
26.05 L,750
26.1 L,750
89 L,1585
17.5 L,450
29 L,870
28.9 L,820
32 L,890
57 L,1155
36 L,840
23 L,770
45 L,1000
26 L,850
68 L,1350
60 L,1700
28.5 L,875
37.4 L,1150
30 L,920
25.3 L,770
35 L,750
68 L,918
32 L,680
51 L,900
62 L,1270
43 L,1000
26.5 L,750
72 L,1175
2.25 Cr,1925
55 L,1150
1.12 Cr,1607
3.9 Cr,2809
25.5 L,875
1.32 Cr,1396
62 L,1200
87 L,1230
28.29 L,832
27.9 L,820
1.05 Cr,1650
1.55 Cr,1650
70 L,1217
76 L,1240
28.56 L,840
55 L,1150
58 L,1244
19 L,500
24.7 L,650
33.71 L,887
31.04 L,776
27.4 L,527
40.82 L,785
51.06 L,982
61.46 L,1182
57.82 L,1112
27 L,1090
34.19 L,977
38.45 L,1068
88.14 L,1356
37 L,824
41.08 L,913
23.1 L,711
70 L,1033
22.18 L,792
20.1 L,718
31.64 L,1130
35 L,955
30.82 L,857
1.65 Cr,2600
30.24 L,844
23.9 L,473
32.37 L,899
32.9 L,731
32.12 L,892
64.5 L,1281
1.1 Cr,1505
67.75 L,1462
39.75 L,870
46 L,1005
95 L,1464
72 L,1257
90 L,934
1.45 Cr,2010
1.1 Cr,1760
60 L,1335
78 L,1150
95 L,1285
45 L,980
44 L,1005
58 L,1385
51 L,1175
51 L,1180
93 L,2450
42 L,900
33 L,880
35 L,845
85 L,1265
90 L,1243
84 L,1205
78 L,1230
41 L,1000
67 L,1080
1.3 Cr,1555
1.55 Cr,2215
1.45 Cr,1450
1.85 Cr,1662
1.7 Cr,1421
2.7 Cr,1657
2.3 Cr,2520
2.2 Cr,3434
1.85 Cr,2215
75 L,1330
1.25 Cr,1529
2.2 Cr,1712
1.45 Cr,2204
1.05 Cr,1764
3.1 Cr,3866
2.55 Cr,3451
1.85 Cr,2210
1.35 Cr,1733
1.12 Cr,1956
2.3 Cr,3680
3.1 Cr,4738
1.5 Cr,2095
3.55 Cr,2385
1.25 Cr,1617
1.15 Cr,1835
38 L,950
34.88 L,775
46 L,1275
1.1 Cr,1091
1.15 Cr,1710
72 L,920
58 L,1392
2.58 Cr,1589
2.5 Cr,1022
40 L,1046
98 L,1835
22 L,650
38.5 L,1001
46 L,1194
1.5 Cr,1580
32 L,750
36 L,967
80 L,1674
95 L,904
85 L,1265
21.5 L,450
40 L,913
1.27 Cr,1770
1.35 Cr,1670
46.4 L,1079
97 L,1244
4.25 Cr,3029
1.65 Cr,2035
30 L,950
40 L,900
30.04 L,812
1.7 Cr,1421
1.35 Cr,1421
1.4 Cr,1421
4 Cr,2731
1.4 Cr,2211
18.5 L,485
33 L,1101
72 L,1352
51.11 L,1345
60 L,1000
72 L,1350
55 L,1180
25 L,750
72 L,1349
58 L,900
56.82 L,1386
51.75 L,1035
54.28 L,1357
1.11 Cr,1700
1.32 Cr,1459
35 L,905
35.1 L,780
41.17 L,915
71.3 L,1426
71 L,1420
42.17 L,1004
31.5 L,750
68.32 L,1220
54.43 L,972
22.78 L,651
49.59 L,1305
34.77 L,915
32.34 L,851
28.05 L,935
26.55 L,885
37.67 L,897
60 L,1184
63 L,1221
30 L,995
58 L,970
80 L,1215
2.1 Cr,1503
56.16 L,1080
31 L,750
29 L,995
41 L,831
40 L,1000
48 L,1350
65 L,1350
47 L,1100
43 L,897
46 L,850
65 L,1175
26 L,810
21 L,750
46 L,940
37 L,960
4.2 Cr,3000
27 L,875
1.45 Cr,1550
65 L,1150
30 L,740
21.5 L,720
20.75 L,700
33.25 L,950
60 L,860
1.25 Cr,1385
80 L,1100
40.5 L,1000
23 L,850
20 L,870
37 L,940
28.6 L,715
51 L,800
75 L,1352
42 L,930
68 L,1100
29 L,983
62 L,1250
1.15 Cr,2500
61 L,1250
46 L,1040
2.17 Cr,1973
1.15 Cr,1275
47 L,980
43.5 L,897
1.36 Cr,1460
1.11 Cr,1705
15 L,650
23.5 L,741
28 L,1050
26 L,1100
80 L,1300
1 Cr,1550
44 L,897
36 L,1050
22.5 L,710
32 L,900
1.82 Cr,2100
28 L,774
51 L,1092
70 L,1086
27 L,774
32.4 L,900
29.16 L,833
20.03 L,742
21 L,821
68 L,1365
50.32 L,1108
47.18 L,1064
39.9 L,1004
69.1 L,1175
1.06 Cr,2000
72 L,1365
68.36 L,1424
48 L,955
1.8 Cr,3348
17 L,450
53 L,906
24.57 L,702
25.4 L,626
31.18 L,1075
89 L,1374
1 Cr,1475
4.75 Cr,2822
1.65 Cr,2400
4.11 Cr,3415
67.43 L,1226
60 L,1076
25.65 L,674
26.5 L,670
25 L,860
1.4 Cr,1670
68 L,1350
75 L,1350
75 L,1350
68 L,1350
80 L,1600
80 L,1600
86 L,1600
60 L,1250
78 L,1385
47 L,800
65 L,1300
90 L,1500
2.45 Cr,2234
1.4 Cr,1116
28.87 L,849
35.43 L,1042
30.94 L,910
80.4 L,1318
47.58 L,865
50.92 L,1050
58.44 L,1205
55.78 L,1150
50.4 L,840
1.7 Cr,1450
1.8 Cr,1650
66 L,1515
1.5 Cr,1540
50 L,860
34.37 L,1120
1.5 Cr,1526
1.17 Cr,1250
2.35 Cr,2100
2.25 Cr,1824
1.3 Cr,1350
1.04 Cr,1500
5.7 Cr,3450
2.8 Cr,1861
90 L,1000
1 Cr,1500
5.5 Cr,3000
1 Cr,1518
31.98 L,848
95 L,1450
95 L,1376
75 L,1000
80 L,850
30 L,680
30.24 L,955
60.08 L,985
72.89 L,1195
75.99 L,1169
64.63 L,1175
55.29 L,1140
49.45 L,1075
27.32 L,719
3.98 Cr,2800
55 L,854
1.5 Cr,1772
1.5 Cr,1526
1.55 Cr,1350
2.5 Cr,2525
2.5 Cr,1658
2.2 Cr,1953
95 L,1050
1.3 Cr,2380
2.5 Cr,3085
1.1 Cr,1240
1.2 Cr,1150
43.8 L,1008
95 L,1100
1.4 Cr,1176
1.25 Cr,1100
2.5 Cr,1861
2.1 Cr,1500
2.7 Cr,2550
2.1 Cr,2320
3.05 Cr,2678
1.4 Cr,1400
2.5 Cr,1500
1.6 Cr,1700
80 L,900
34.36 L,1120
24.72 L,715
3 Cr,2800
97.5 L,1500
2.9 Cr,2700
1.4 Cr,1400
82 L,1293
88.2 L,980
1.2 Cr,1300
1 Cr,968
53 L,1065
56.5 L,1165
66.91 L,984
92.89 L,1366
80 L,1000
49.63 L,1079
43.7 L,950
68 L,1240
47.58 L,865
80 L,1539
86 L,1175
6 Cr,3300
4.6 Cr,2354
22 L,450
31 L,650
32.5 L,650
56 L,910
55 L,905
52 L,909
55 L,910
17 L,480
1.35 Cr,1955
1.05 Cr,1697
1.15 Cr,1528
75 L,940
95 L,1200
80 L,950
1.2 Cr,1600
35 L,650
1.15 Cr,1606
82 L,1950
1.4 Cr,1875
65 L,1020
1.35 Cr,1523
1.7 Cr,1940
75 L,1400
24 L,850
50 L,1267
45 L,945
46.8 L,1170
65 L,1400
33.6 L,800
21.08 L,502
61.32 L,989
61.32 L,989
77.72 L,1143
66.91 L,984
33.54 L,818
45.32 L,1079
84.67 L,2016
29.41 L,774
36.67 L,873
56.99 L,1357
32.19 L,870
52.18 L,1338
20.74 L,576
24.05 L,668
56.99 L,1357
29.07 L,765
1.05 Cr,1535
70.28 L,1026
44.14 L,1051
40.53 L,965
94.8 L,1384
67.2 L,981
1.05 Cr,1535
70.28 L,1026
94.8 L,1384
67.2 L,981
26.07 L,802
32.53 L,1001
16.41 L,505
38.43 L,854
34.45 L,1060
28.35 L,810
45.32 L,1079
25.2 L,800
24 L,750
86.3 L,1726
43.93 L,1156
28.08 L,780
35.51 L,789
47.38 L,1053
44.14 L,1051
40.53 L,965
46.81 L,851
74.07 L,1277
65.7 L,1095
81.48 L,1358
33.56 L,987
33.01 L,971
29.17 L,858
26.21 L,771
36.04 L,1060
39.35 L,1009
31.28 L,802
39.51 L,1162
28.19 L,829
39.89 L,1078
31.64 L,855
81.48 L,1358
34.51 L,767
27.94 L,776
24.08 L,669
27.94 L,776
24.08 L,669
86.3 L,1726
28.29 L,884
29 L,1002
63.8 L,1276
38.43 L,854
47.38 L,1053
32.14 L,824
38.04 L,951
58.99 L,1229
79.89 L,1354
63.8 L,1276
33.75 L,750
57.2 L,1100
49.4 L,950
51.75 L,1150
39.15 L,870
69 L,1380
45.75 L,915
2.2 Cr,1686
3.9 Cr,2867
2.1 Cr,1668
1.3 Cr,1200
40 L,900
75 L,1300
4 Cr,3495
1.3 Cr,1555
2.35 Cr,3291
6.3 Cr,3600
67 L,1560
30 L,795
2.35 Cr,1900
1.05 Cr,1355
1.3 Cr,1607
2.41 Cr,1677
1.17 Cr,1768
2.3 Cr,2150
1.5 Cr,1950
5 Cr,3350
4.75 Cr,2822
4.45 Cr,2822
1.28 Cr,1555
1.2 Cr,1955
6.2 Cr,3762
15 Cr,7014
1.37 Cr,1476
1 Cr,940
1.65 Cr,2180
1.05 Cr,1163
5.6 Cr,3300
1.45 Cr,1509
3.25 Cr,2000
1.8 Cr,3596
6.15 Cr,3615
1.55 Cr,2204
4 Cr,3550
1.1 Cr,1383
20 L,800
24.75 L,849
34 L,1145
25 L,900
32.5 L,1008
25 L,850
19.68 L,796
20 L,800
20 L,800
25 L,800
26 L,1000
13.75 L,546
21 L,823
16.7 L,665
32.2 L,1018
33.9 L,1155
16.5 L,678
90 L,1340
32.5 L,680
45 L,800
95 L,1339
1.05 Cr,1517
56.23 L,907
67.5 L,1167
51 L,980
72 L,1255
14.8 L,400
24 L,750
1.35 Cr,1641
28 L,830
32.5 L,1250
14.82 L,570
18.2 L,700
20.77 L,799
23.68 L,640
10.48 L,466
38.53 L,988
26.35 L,722
18.17 L,790
41.14 L,1127
34.4 L,860
20.92 L,523
13.34 L,667
17.56 L,836
32.52 L,813
41.6 L,1040
15.98 L,695
23.76 L,990
44 L,1100
42 L,750
33.2 L,830
85 L,1250
76 L,1250
70 L,1150
84.32 L,1360
1.1 Cr,1660
49 L,1100
45 L,1100
23 L,852
24 L,860
20.5 L,680
52 L,900
49.5 L,900
71.94 L,1308
19.78 L,824
19.66 L,819
77 L,1480
72.32 L,1315
60.72 L,1104
50 L,1000
53 L,938
66.72 L,1104
58 L,900
57 L,1320
1.75 Cr,1610
66 L,1370
85 L,1008
1.05 Cr,1328
1.1 Cr,1210
1.42 Cr,1843
16.88 L,804
16.83 L,673
16.9 L,676
17.55 L,702
13.23 L,575
13 L,650
12 L,600
25.99 L,1130
20.01 L,870
25.62 L,1114
30 L,860
43.2 L,955
25.9 L,700
32 L,705
42 L,905
46 L,1085
45 L,1034
20 L,600
18.08 L,723
35.21 L,1304
1.45 Cr,1947
28.75 L,1065
29.16 L,1080
29.3 L,1085
13.97 L,635
21.44 L,875
20.56 L,875
16.2 L,675
14.45 L,602
22.65 L,906
18.2 L,728
17.48 L,760
15.55 L,676
15.54 L,740
26 L,999
32 L,920
33.6 L,800
39.78 L,1020
3.7 Cr,3450
1.12 Cr,1420
1.09 Cr,1290
99 L,1809
15.5 L,859
1.72 Cr,1934
1.3 Cr,1426
1.55 Cr,1736
94 L,1406
88 L,1315
43 L,1000
83 L,1496
67 L,1215
99 L,1250
1.35 Cr,1244
1.8 Cr,2200
67 L,1215
36.48 L,960
38 L,1000
27.75 L,793
36.85 L,1053
29.82 L,852
28.25 L,807
1.67 Cr,1847
1.9 Cr,2154
1.31 Cr,1399
1.36 Cr,2071
1.46 Cr,2071
44.45 L,926
37 L,1000
64 L,889
1.1 Cr,1839
20.92 L,775
18.95 L,758
15.25 L,610
23.58 L,943
30.29 L,1165
21.6 L,800
22.27 L,825
27 L,1000
33.6 L,800
42 L,1000
35 L,1000
35.33 L,785
38.52 L,856
35.19 L,782
50.4 L,1120
40.59 L,990
15.75 L,450
51.75 L,1150
42 L,953
42.97 L,955
41.4 L,920
42.89 L,953
48 L,815
1 Cr,1210
28 L,720
38.85 L,925
37.38 L,890
42 L,1000
36.48 L,961
36.48 L,960
32 L,800
40.32 L,960
31.92 L,760
29 L,910
36.16 L,1130
30.72 L,960
31 L,970
27.72 L,840
29.7 L,900
35.31 L,1070
27.73 L,840
36.8 L,1115
70 L,1257
42 L,880
96 L,1600
1.01 Cr,1200
1.29 Cr,1850
2.6 Cr,2200
1.25 Cr,1640
2.18 Cr,2682
1.95 Cr,2577
1.05 Cr,1457
80 L,1103
60 L,1340
42 L,1000
45.6 L,950
67.5 L,1075
42 L,755
68 L,1250
41.25 L,750
17 L,400
28 L,700
27.3 L,650
71.5 L,1135
19 L,460
43 L,1180
33.18 L,790
31.5 L,750
51 L,1190
1.53 Cr,1606
1.62 Cr,1709
1.16 Cr,1220
1.27 Cr,1338
1.62 Cr,1710
1.52 Cr,1605
1.16 Cr,1221
42 L,740
32 L,1000
45 L,1047
22 L,750
30 L,840
25 L,725
31.35 L,870
1 Cr,1600
35.7 L,850
50.4 L,1120
72 L,1200
1.6 Cr,1347
1.65 Cr,1347
35 L,780
32 L,780
27.2 L,650
28 L,700
75 L,1800
59.85 L,1330
58.5 L,1300
40.5 L,900
57.6 L,1280
95 L,1200
28 L,625
29 L,802
27 L,750
68 L,1565
72.2 L,1094
4.25 Cr,2323
1.35 Cr,1881
3.7 Cr,2371
2.45 Cr,2086
54.5 L,901
65 L,885
78 L,1303
74 L,1035
85 L,1028
60 L,1165
85 L,1339
75 L,845
59 L,1168
72 L,1254
56 L,1101
70 L,1254
54 L,1014
1.05 Cr,996
51 L,817
1.65 Cr,1717
1.25 Cr,1225
38.43 L,854
51.75 L,1035
47.38 L,1053
56.6 L,1135
30 L,645
35 L,700
32.42 L,613
39.59 L,808
30 L,650
2.25 Cr,1910
84.25 L,1246
59.7 L,970
60 L,978
85 L,1243
59.7 L,970
84.25 L,1246
32 L,800
26.5 L,726
44 L,1127
19.76 L,520
42 L,1050
34.4 L,860
37 L,975
36.1 L,950
55.23 L,1315
44.52 L,1060
14.25 L,475
25.92 L,810
24.64 L,770
1.6 Cr,1920
1.38 Cr,2520
97 L,1310
75 L,1250
35 L,1000
1.12 Cr,1562
86 L,1150
1.1 Cr,1562
1.5 Cr,1878
26.11 L,816
84.11 L,1335
64.57 L,1025
41.92 L,655
23.04 L,360
14.53 L,447
52 L,1030
32.76 L,780
82.46 L,1330
56.23 L,907
78 L,1480
89.46 L,1330
80 L,1250
90 L,1450
32 L,885
16.5 L,450
42 L,1140
24 L,870
1.3 Cr,1369
47.44 L,1020
6.5 Cr,4150
4 Cr,2672
54 L,1241
28.5 L,830
1.38 Cr,2218
2.5 Cr,1925
42.51 L,1000
1.15 Cr,2051
92 L,2230
86 L,1757
34 L,850
61 L,1115
1.45 Cr,2181
1.1 Cr,2185
42 L,875
55 L,1116
96 L,2185
56 L,1115
1.35 Cr,2180
43 L,831
42 L,800
31.92 L,840
41.42 L,1090
18.52 L,463
81 L,1350
68.46 L,1141
84.27 L,1453
41 L,790
54 L,1350
27 L,735
38 L,780
93 L,1534
47.04 L,1120
51.45 L,1225
56 L,1250
86.28 L,1725
43.6 L,872
43.93 L,1156
42.55 L,1150
60 L,1700
48 L,1259
40.4 L,808
51.75 L,1035
38.95 L,950
44.9 L,1095
36 L,940
1.9 Cr,1900
67.93 L,1424
48.69 L,1036
67.93 L,1424
69 L,850
89 L,1150
42.5 L,1250
64 L,1300
63 L,1300
25.44 L,636
39.24 L,981
52 L,1005
32.3 L,850
28.5 L,750
46.44 L,1161
29.59 L,822
33.12 L,828
46.48 L,1162
42.92 L,1073
31.85 L,980
50.5 L,1004
20.65 L,712
1.7 Cr,2450
29.37 L,816
29.76 L,783
81.9 L,1489
62.8 L,1256
32.11 L,845
32.65 L,859
1.88 Cr,1504
53.5 L,1004
59.95 L,1199
51.5 L,896
45.15 L,903
69.25 L,1253
70.25 L,1275
36.15 L,921
1.93 Cr,1899
45.6 L,1200
48.7 L,1036
48.69 L,1036
72.98 L,1424
39.6 L,898
1.21 Cr,1345
1.12 Cr,1245
49.5 L,1130
52 L,1275
43 L,1193
50.5 L,1004
29 L,800
33.2 L,921
25.3 L,701
42.95 L,1193
22.82 L,713
25.23 L,701
36 L,910
65 L,1200
75 L,1300
49 L,1175
35 L,801
46 L,970
27 L,740
26.5 L,730
22 L,750
32 L,800
25 L,690
85 L,1750
1.2 Cr,1800
52 L,1200
26 L,780
36 L,800
47 L,950
65 L,1351
3.4 Cr,3866
36.4 L,1042
30.45 L,870
40 L,1000
34 L,850
46 L,1150
32.06 L,916
40 L,1252
45 L,1252
36.82 L,1052
38.5 L,1102
36.4 L,1045
16 L,540
50 L,949
3 Cr,2727
2.5 Cr,2151
2.96 Cr,2570
2.58 Cr,2247
4.2 Cr,2829
3.5 Cr,2323
32 L,650
2.75 Cr,2688
32 L,652
45 L,850
1 Cr,1435
1.85 Cr,1750
6.23 Cr,3627
7.7 Cr,3113
8 Cr,1760
2.12 Cr,1768
4.65 Cr,3123
24.5 L,682
16.45 L,532
27.65 L,895
27.34 L,882
2.81 Cr,908
30.75 L,993
68 L,1400
90 L,1800
1.15 Cr,1860
1.18 Cr,1733
87 L,1214
73 L,1409
42.5 L,831
3 Cr,4670
2.84 Cr,3603
1.86 Cr,2355
1.48 Cr,1790
78.43 L,1348
76.91 L,1322
54.36 L,930
2.4 Cr,2560
1.72 Cr,2130
62 L,1304
43 L,1007
2.85 Cr,2073
1.48 Cr,1850
1.82 Cr,1872
1.74 Cr,2350
1.46 Cr,1950
92 L,1521
58 L,1144
3 Cr,2247
85 L,1400
56 L,954
2.9 Cr,2151
3.5 Cr,2323
4.2 Cr,2828
4.2 Cr,3319
82 L,1670
70 L,1320
90 L,2000
1.06 Cr,1319
82 L,1232
3.65 Cr,3450
22.1 L,850
36.63 L,964
44.94 L,1070
25 L,894
1.11 Cr,1855
9 Cr,4527
3.01 Cr,2688
2.5 Cr,2235
3 Cr,2734
95 L,1553
51 L,1130
56 L,1550
45 L,1000
1.25 Cr,1350
75 L,1200
55 L,950
48 L,1310
30 L,750
43 L,831
27.65 L,892
35.89 L,1158
9 Cr,4527
3.5 Cr,2200
10.5 Cr,7143
9 Cr,5889
1.6 Cr,3000
4.25 Cr,2969
3 Cr,2095
3.55 Cr,2604
5.1 Cr,3590
3.2 Cr,2329
3.75 Cr,2945
2.48 Cr,1855
67 L,963
6 Cr,5000
2.5 Cr,2345
65 L,1410
6.4 Cr,5070
13 Cr,4300
3.75 Cr,3000
97 L,2051
1.18 Cr,1648
44 L,925
46 L,1190
18.4 L,582
22.94 L,717
27.3 L,882
27.65 L,892
16.39 L,529
1.15 Cr,1855
1.5 Cr,1921
1.4 Cr,1874
2.2 Cr,1858
3 Cr,2123
1.9 Cr,1734
1.1 Cr,1337
85 L,1178
1.9 Cr,1882
4.2 Cr,4250
2.15 Cr,2070
4 Cr,3654
2.1 Cr,2100
75 L,1133
1.8 Cr,1880
3 Cr,2890
3.65 Cr,3029
1.6 Cr,1609
1 Cr,1381
4 Cr,2867
3.2 Cr,2786
1.35 Cr,1532
3 Cr,2891
2.35 Cr,2235
85 L,1540
1.6 Cr,2552
1 Cr,1535
70 L,1065
24.36 L,870
38.52 L,856
50 L,1120
31.15 L,888
24.99 L,851
23.5 L,785
16 L,490
37.83 L,970
40.17 L,1030
33.93 L,870
42 L,1200
55 L,1198
40 L,850
65 L,1380
60 L,956
46 L,890
50 L,940
1.6 Cr,1654
5.5 Cr,3400
1.23 Cr,1229
1.11 Cr,1241
1.47 Cr,1408
89 L,893
1.2 Cr,1199
2 Cr,2548
1.56 Cr,1953
66 L,833
1.83 Cr,1530
1.81 Cr,1646
1.87 Cr,1565
1.3 Cr,1181
1.42 Cr,1356
1.27 Cr,1294
1.37 Cr,1376
3.3 Cr,3275
2.5 Cr,2114
83 L,829
1.28 Cr,1284
81 L,684
6.6 Cr,3973
64 L,1128
63 L,1128
55 L,906
56 L,906
3.6 Cr,2274
4.6 Cr,2828
59 L,1242
2.75 Cr,2500
8 Cr,3350
5.1 Cr,2550
3 Cr,2726
2.2 Cr,1750
1.4 Cr,1750
1.4 Cr,1244
1.6 Cr,1709
2 Cr,2300
30 L,715
1.1 Cr,1400
32 L,770
90 L,1485
1.2 Cr,1485
1.25 Cr,1760
1.5 Cr,1920
1.49 Cr,1920
95 L,1384
98 L,1310
1.29 Cr,1810
90 L,1464
98 L,1510
90 L,1475
77 L,1080
1.01 Cr,1510
75.5 L,1090
94 L,1475
1.29 Cr,1760
1.35 Cr,1409
1 Cr,1545
49 L,1130
1 Cr,1397
37 L,949
43 L,1154
50 L,1139
62 L,1280
55 L,1320
55 L,1025
38.85 L,925
47.25 L,1350
50 L,900
60 L,920
56 L,1000
95 L,1347
85 L,1317
75 L,1910
26 L,718
78 L,1178
55 L,1550
25 L,750
75 L,1350
48 L,850
36 L,736
35 L,800
37 L,760
35 L,1000
30 L,800
25 L,738
1.45 Cr,1600
60 L,1430
2.5 Cr,1800
72 L,1170
2.72 Cr,3185
85 L,1187
1 Cr,1150
1.65 Cr,1654
47 L,950
1.62 Cr,1550
83 L,1187
90 L,1187
1.85 Cr,1472
65 L,1524
23 L,669
30.5 L,870
30 L,870
35 L,900
32 L,850
32 L,900
97 L,1500
40 L,928
33 L,720
23 L,611
28 L,860
30 L,875
31 L,800
41 L,900
58 L,1150
23 L,800
21 L,650
30 L,885
36 L,925
35 L,800
31 L,930
24 L,715
68 L,960
35 L,838
25 L,720
55 L,840
45 L,850
45 L,750
30 L,850
22 L,650
21 L,650
55 L,1000
64 L,1180
50 L,1200
35 L,800
28 L,800
37 L,920
32 L,680
26 L,815
27 L,804
24 L,630
30 L,900
30 L,869
42 L,1002
2.5 Cr,2520
1.65 Cr,1920
2.4 Cr,2520
1.35 Cr,1760
1.15 Cr,1310
1.35 Cr,1820
1.65 Cr,1920
92 L,1150
1.35 Cr,1810
1.65 Cr,1920
44 L,960
1.85 Cr,1920
50 L,1100
35 L,950
30 L,856
35 L,900
2.5 Cr,1925
3.35 Cr,2364
1.25 Cr,1648
30 L,856
35.1 L,975
35.1 L,975
52.32 L,1308
37.04 L,926
82 L,1470
38 L,950
38 L,950
46 L,1150
46 L,1150
28 L,788
16.5 L,434
24 L,830
60 L,1250
1.45 Cr,1700
1.26 Cr,1615
54 L,830
54 L,901
21 L,425
1 Cr,1032
48.5 L,906
75 L,1305
2.25 Cr,1686
10 Cr,5318
3.3 Cr,1978
1.85 Cr,1583
2.2 Cr,1754
